NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
4909,Narcotic,Federico Tognini,\N,2,\N,\N,,\N,IT,T,-1.28190903481221,94,95,6698759,\N
4650,QueenE,Emily Krumlinde,\N,2,\N,\N,,\N,SE,P,-1.55921924953177,84,85,6698525,
1403,sSak,최호선,1990-02-28,2,636,1,sSak,\N,KR,T,-0.737343439244576,28,29,6695722,Choi Ho Sun
6357,Believe,김주열,\N,2,\N,0,Believe (Korean player),\N,KR,P,-1.05865395078524,51,52,6699957,Kim Ju Yeol
2574,Ruin,홍덕,1995-08-21,2,5357,1,ruin,\N,KR,P,-0.73038235216958,31,32,6696689,Hong Deok
4388,JonSnow,Jarod George,\N,2,\N,0,JonSnow,\N,US,Z,-1.0127534945629,66,67,6698298,
1071,Grokken,Joakim Silfver,\N,2,\N,0,\N,\N,SE,Z,-0.947676852883643,27,28,6695429,\N
3380,Oddz,Ryan Kent,\N,2,3311,2,\N,\N,CA,P,-0.651570872099733,28,29,6697408,\N
2479,FZJ,富子嘉,\N,2,2965,3,\N,\N,TW,T,-0.766759714830154,46,47,6696608,Fu Zi Jia
706,uzer,Grzergorz Muśko,\N,2,4110,2,,\N,PL,Z,-1.14324498097625,110,111,6695100,\N
7046,GaKSiTaL,김태현,\N,2,\N,0,\N,\N,KR,Z,-0.726046499170982,27,28,6700538,Kim Tae Hyun
1009,Keeping,이강범,1986-07-16,2,1873,1,\N,136,KR,P,-0.643946670323759,41,42,6695372,Lee Kang Bum
1295,WannaBe,Jack Jung-Ho Hwang,\N,2,3337,3,\N,\N,CA,T,-1.05450070090489,57,58,6695624,\N
4198,Zanster,Anton Dahlström,1996-11-21,2,5265,4,Zanster,\N,SE,Z,-0.956875558443849,37,38,6698127,
1582,Dos,박영규,\N,2,1877,1,\N,\N,KR,P,\N,25,26,6695879,Park Yeong Kyu
6960,FunNv,王人泓,\N,2,\N,0,,\N,TW,P,-1.17226674081053,45,46,6700475,Wang Jenhung
4402,Zervas,Fabio Bügler,1994-06-19,2,\N,\N,,\N,CH,Z,-1.32101024769728,186,187,6698309,
6346,SGW,신건우,\N,2,\N,0,,\N,KR,P,-1.46981323715914,147,148,6699947,Shin Geun Woo
1408,AriA,변정근,\N,2,4341,3,AriA,\N,KR,Z,-0.909098474301711,48,49,6695726,Byun Jung Geun
252,Pomi,Сергей Родионов,1986-01-15,2,1210,2,Pomi,393,RU,P,-1.49981231880569,185,186,6694669,Sergey Rodionov
7956,Cyan,黄旻,1992-10-28,2,\N,0,NeverSteam,\N,CN,P,-1.36794194288143,45,46,6701295,Huang Min
523,Fuzzy,Nick Degtiarev,\N,2,3065,2,,\N,CA,Z,-0.961004829712061,82,83,6694927,\N
1742,Comet,\N,\N,2,\N,\N,Comet,\N,KR,P,-0.818488140000671,52,53,6696001,Shin Hye Sung
1871,Supreme,최승민,\N,2,3496,3,Supreme,\N,KR,Z,-1.11921503817201,77,78,6696111,Choi Seung Min
537,Ian,呂家宏,1990-08-31,2,\N,0,\N,492,TW,Z,-1.54651476969441,204,205,6694941,Lu Jiahong
839,Bubbas,Emil Hamberg,\N,2,\N,0,\N,\N,SE,P,-1.60807125249848,106,107,6695217,\N
8106,Nice,黄昱翔,\N,2,\N,0,Nice,\N,TW,P,-1.35688121539452,54,55,6701424,Huang Yu Shiang
131,Brat_OK,Павел Кузнецов,1987-01-03,2,1166,3,Brat_OK,230,RU,T,-1.26482957886704,163,164,6694550,Pavel Kuznetsov
8256,NeXuS,\N,\N,2,\N,\N,\N,\N,ES,P,-1.9156285110508,133,134,6701534,\N
255,Mentalist,김충인,1990-02-12,2,2843,3,,\N,KR,P,-1.16336497832184,161,162,6694672,Kim Choong In
1875,Kuma,배장훈,\N,2,2620,3,\N,\N,KR,P,-0.598552895435396,47,48,6696115,Bae Jang Hoon
11322,Okaneby,Fabien Lefrançois,\N,2,\N,0,\N,\N,FR,T,-1.73260776390406,131,132,6704273,\N
465,CENSURE,Raphaël Delétoille,\N,2,4232,2,CENSURE,\N,FR,Z,-1.4861213277335,181,182,6694872,
325,Ciara,René Krag,\N,2,1750,2,,114,DK,Z,-0.915428635871024,96,97,6694740,\N
15164,Queen,최지민,\N,2,\N,0,\N,\N,KR,Z,-1.54564098239361,64,65,6707646,Choi Ji Min
1377,Dylayn,Dylan Large,\N,2,\N,\N,,\N,FR,Z,-1.30027780988249,83,84,6695697,\N
33,Puzzle,김상준,1992-10-02,2,946,3,,220,KR,P,-0.463821893349441,108,109,6694452,Kim Sang Jun
4830,Awers,Олексій Чістяков,\N,2,\N,0,,\N,UA,T,-1.38616020235767,132,133,6698687,Alexey Chistiakov
1912,Bielsko,Konrad Janica,\N,2,4285,3,\N,\N,AU,P,-0.631338745233535,46,47,6696148,\N
1783,PsiOniC,Paul Daniel dit Andrieu,1995-12-15,2,\N,0,,\N,FR,P,-1.33054481620044,209,210,6696033,\N
3560,FabledIntegral,Josh Coyle,\N,2,3558,2,\N,\N,US,R,-0.695846051626006,48,49,6697573,\N
442,Capoch,Patricio del Olmo,1987-04-13,2,1751,2,Capoch,273,AR,P,-1.15465303430581,127,128,6694850,\N
109,Dream,조중혁,1996-10-27,2,2241,3,Dream_(Korean_Terran_player),335,KR,T,-0.776361595681163,235,236,6694528,Cho Joong Hyuk
5640,WPz,Emil Worsøe,1995-07-10,2,\N,0,\N,\N,DK,P,-1.29617411283347,176,177,6699374,\N
239,Stork,송병구,1988-08-04,2,59,1,Stork,\N,KR,P,-0.745702418532086,103,104,6694656,Song Byung Goo
288,SLiDeR,Dominik Rogacki,\N,2,1138,2,\N,447,PL,P,-0.889235933564923,75,76,6694703,\N
524,Flower,김광섭,1988-02-26,2,191,1,\N,\N,KR,Z,-0.659375974268957,33,34,6694928,Kim Kwang Sup
7813,Mamba,洪廉誠,\N,2,\N,0,\N,\N,TW,P,-1.8795345032548,173,174,6701165,Hung Lien Cheng
5118,Semper,Alex Dimitriu,\N,2,5689,4,Semper,\N,CA,T,-1.15551275380175,84,85,6698946,
644,Snake,Дмитро Григор'єв,1989-08-02,2,1783,2,\N,\N,UA,Z,-0.767734476136489,47,48,6695041,Dmytro Hryhorev
505,Brave,이희창,\N,2,4726,3,Brave,\N,KR,P,-0.960114846160966,87,88,6694910,Lee Hee Chang
4137,Corax,\N,\N,2,\N,\N,\N,\N,DK,Z,-0.896593404842086,25,26,6698074,\N
763,Joshua,\N,\N,2,\N,\N,\N,\N,KR,P,-0.740269438815129,43,44,6695151,\N
2421,Husam,\N,\N,2,\N,\N,\N,\N,LY,Z,-0.960489554338919,26,27,6696561,\N
6919,cheetos,林施廷,1994-06-25,2,\N,\N,,\N,TW,Z,-1.16720886332321,65,66,6700437,Lin Shihting
296,mOoNan,김민균,\N,2,2050,3,MOoNan,116,KR,T,-0.587909253326531,44,45,6694711,Kim Min Kyun
2168,DavasiaN,David Huang,\N,2,3428,2,\N,\N,US,Z,-0.761243057658917,33,34,6696374,\N
686,SonKiE,Nikolaus Cassidy,\N,2,3462,2,\N,\N,US,T,-0.75737041599218,62,63,6695082,\N
282,drewbie,Andrew Moysey,\N,2,1625,2,drewbie,54,CA,T,-1.17404308066339,113,114,6694697,\N
4652,Xylla,Oscar Melin,\N,2,\N,0,\N,\N,SE,P,-1.29769816130517,55,56,6698527,\N
3760,HyDrA,Miguel Alberto,\N,2,4171,2,,\N,PT,Z,-1.75532467846914,161,162,6697749,
8255,Zerghamdi,Berkay Erbaş,\N,2,\N,0,,\N,TR,Z,-1.49993677821379,133,134,6701533,
324,DeViL,Ondrej Balusek,1987-01-03,2,1674,2,DeViL,\N,CZ,Z,-1.17387960373161,148,149,6694739,\N
4680,Botvinnik,Gabino Luis Lazo,1994-09-22,2,\N,0,,\N,ES,T,-1.09698738443923,142,143,6698551,
4297,Buffy,Mikael Nilsson,\N,2,\N,\N,,\N,SE,Z,-0.99073799447092,41,42,6698220,\N
1836,Mariano,\N,\N,2,\N,\N,\N,\N,KR,T,-0.706526547315228,54,55,6696079,\N
614,Duggi,Oliver Näsström,\N,2,4704,2,,\N,SE,T,-1.10986210725976,66,67,6695015,\N
4105,Kelazhur,Diego Guilherme Schwimer,1995-10-10,2,4919,2,Kelazhur,\N,BR,T,-1.13190142334655,74,75,6698050,
6300,Zeal,Valentin Monfort-Schaeffer,\N,2,\N,0,,\N,US,P,-1.30197078034931,197,198,6699908,
424,Sein,Tuomas Lahtinen,\N,2,1866,2,\N,315,FI,P,-0.693110147845654,41,42,6694834,\N
5072,Primelot,Philipp Fuhrmann,\N,2,\N,0,User:Abturn/PrimeLoT,\N,DE,P,-1.20414090374666,94,95,6698905,\N
381,Reality,김기현,1993-06-06,2,712,1,Reality,516,KR,T,-0.637370836266616,28,29,6694793,Kim Ki Hyun
6306,Gemini,Dylan Kristopovich,\N,2,\N,\N,,\N,US,P,-1.82083297916462,161,162,6699913,
193,GoOdy,Sascha Lupp,1985-10-27,2,1221,2,GoOdy,113,DE,T,-1.43637585235417,235,236,6694611,
